Propossal ID,Programme Name,Sub-Programme,Supplement,Lead Applicant,ORCID ID,Research Body,Research Body ROR ID,Funder Name,Funder ROR ID,Propossal title,Start Date,End Date,Current Total Commitment,Discipline
CHISTERA/2025/001,Challenges in Information and Communication Sciences & Technologies ERA-NET (CHIST-ERA),,,Viet Quoc Pham,https://orcid.org/0000-0002-9485-9216,Trinity College Dublin (TCD),https://ror.org/02tyrky19,Research Ireland,https://ror.org/010t7sr36,Reliable Distributed Learning and Smart Contract assisted Digital Ecosystems (SHIELD),01/09/2025,31/08/2028,"€160,700.00",STEM
CHISTERA/2025/002,Challenges in Information and Communication Sciences & Technologies ERA-NET (CHIST-ERA),,,Sheila Castilho,https://orcid.org/0000-0002-8416-6555,Dublin City University (DCU),https://ror.org/04a1a1e81,Research Ireland,https://ror.org/010t7sr36,Open Science Communication through AI in EU Languages (OSCAIL),05/01/2026,30/04/2029,"€133,293.00",STEM
CHISTERA/2025/003,Challenges in Information and Communication Sciences & Technologies ERA-NET (CHIST-ERA),,,Vicent Briva Iglesias,https://orcid.org/0000-0001-8525-2677,Dublin City University (DCU),https://ror.org/04a1a1e81,Research Ireland,https://ror.org/010t7sr36,Terminology-Aware Machine Translation for Accessible Science (TaMTAS),12/01/2026,11/01/2029,"€133,257.00",STEM
COALESCE/2024/2049,Collaborative Alliances for Societal Challenges (COALESCE),,,Barry Cannon,https://orcid.org/0000000252056634,Maynooth University (MU),https://ror.org/048nfjm95,Research Ireland,https://ror.org/010t7sr36,"Liberalism’s Shadow: Content, Impact and Response to Far Right discourse affecting racialised minorities, asylum seekers and refugees, LGBTQI+, women’s rights and working class communities during the 2024/25 electoral cycle in Ireland.",01/09/2024,01/09/2026,"€175,808.00",AHSS
COALESCE/2024/2715,Collaborative Alliances for Societal Challenges (COALESCE),,,Connie Healy,https://orcid.org/0000000215339192,University of Galway,https://ror.org/03bea9k73,Research Ireland,https://ror.org/010t7sr36,"Voice of the Child in Family Law Mediation: Overcoming barriers to ensure Participation as a right, not a privilege (VOCAL)",01/09/2024,01/09/2026,"€174,569.60",STEM
COALESCE/2024/2788,Collaborative Alliances for Societal Challenges (COALESCE),,,Rachel Farrell,https://orcid.org/0000-0001-5828-7938,University College Dublin (UCD),https://ror.org/05m7pjf47,Research Ireland,https://ror.org/010t7sr36,SECURE: Strengthening Education for Cybersecurity: Uniting Resilience and Expertise,01/09/2024,01/09/2026,"€176,000.00",AHSS
COALESCE/2024/3349,Collaborative Alliances for Societal Challenges (COALESCE),,,Gordon Ó Riain,https://orcid.org/0000-0002-2088-5980,University of Limerick (UL),https://ror.org/00a0n9e72,Research Ireland,https://ror.org/010t7sr36,Networks of Early Medieval/Modern and Ancient Irish Narratives (NEMAIN),01/09/2024,30/06/2027,"€175,995.20",STEM
COALESCE/2024/3386,Collaborative Alliances for Societal Challenges (COALESCE),,,Patrick Redmond,https://orcid.org/0000-0002-3929-2018,RCSI University of Medicine and Health Science (RCSI),https://ror.org/01hxy9878,Research Ireland,https://ror.org/010t7sr36,Enhancing Early Lung Cancer Diagnosis in South Africa: A Community-Centred Approach,01/09/2024,01/09/2027,"€279,712.00",AHSS
COALESCE/2024/3521,Collaborative Alliances for Societal Challenges (COALESCE),,,Andrea Mulligan,https://orcid.org/0000-0002-9160-4875,Trinity College Dublin (TCD),https://ror.org/02tyrky19,Research Ireland,https://ror.org/010t7sr36,The CONTENT Study - Consent for Medically Indicated Interventions in Childbirth,01/01/2025,01/01/2027,"€175,991.20",STEM
COALESCE/2024/3528,Collaborative Alliances for Societal Challenges (COALESCE),,,Helen Lewis,https://orcid.org/0000-0001-5255-074X,University College Dublin (UCD),https://ror.org/05m7pjf47,Research Ireland,https://ror.org/010t7sr36,The Irish Palaeolithic: reconstructing human-animal adaptability and sustainability in changing ancient climates and ecosystems (PALAEO-IRELAND),01/09/2024,01/09/2026,"€174,429.60",STEM
